Analysis Report of WFO Plant Samples 2025-2026,,,,,,,,,,,,,
Analysis Date ,Analysis  Time,Sample Detail,Material,Naphth. % by GC,Thianaphth. %,Quinoline in ppm,Unknown Impurity%,SpGr,Analysed Temp OC,SpGr at 15.56OC,Mois. %,IBPOC,FBPOC
,,,,,,,,,,,,,
,,,,,,,,,,,,,
07.08.25,09.15AM,P-01,WFO,56.53,2.04,17459,1.83,1.028,46,1.046,0.2,98,340
07.08.25,06.00PM,P-01,WFO,55.52,2.02,17442,1.84,,,,,,
07.08.25,06.00PM,C-03-T,NO,88.94,4.22,6582,1.70,,,,,,
07.08.25,06.00PM,C-02-T,LCO,19.74,,,,0.989,35,1.001,,,
07.08.25,06.00PM,C-03-B,WO-270OC,1.46,,,,1.039,33,1.049,,232,290
07.08.25,06.00PM,C-01-B,ATO,0.01,,,,1.090,79,1.128,,268,360
08.08.25,0.600AM,C-03-T,NO,87.71,4.37,23446,0.75,,,,,,
08.08.25,0.600AM,C-02-T,LCO,53.42,,,,,,,,,
08.08.25,0.600AM,C-03-B,WO-270OC,1.25,,,,1.040,30,1.049,,238,278
08.08.25,0.600AM,C-01-B,ATO,0.03,,,,1.092,75,1.128,,272,360
08.08.25,09.30AM,P-01,WFO,56.38,2.03,18189,1.90,1.018,58,1.043,0.2,90,342
08.08.25,11.30AM,C-02-T,LCO,8.02,,,,0.986,31,0.995,,,
08.08.25,03.15PM,C-03-T,NO,87.05,3.21,12244,3.30,,,,,,
08.08.25,03.15PM,C-02-T,LCO,8.24,,,,0.991,35,1.003,,,
08.08.25,06.30AM,P-01,WFO,57.03,2.65,18244,2.17,,,,,,
08.08.25,07.30PM,C-03-B,WO-270OC,0.01,,,,1.036,30,1.045,,240,278
08.08.25,07.30PM,C-01-B,ATO,0.02,,,,1.090,79,1.128,,270,360
09.08.25,12.15AM,C-03-T,NO,86.76,3.50,8724,3.27,,,,,,
09.08.25,12.15AM,C-02-T,LCO,8.83,,,,0.992,32,1.002,,,
09.08.25,12.15AM,C-03-B,WO-270OC,0.02,,,,1.041,30,1.050,,240,276
09.08.25,12.15AM,C-01-B,ATO,0.07,,,,1.086,84,1.127,,272,360
09.08.25,07.00AM,C-03-T,NO,86.80,3.51,11897,3.08,,,,,,
09.08.25,07.00AM,C-03-B,WO-270OC,0.01,,,,,,,,,
09.08.25,07.00AM,C-01-B,ATO,0.54,,,,,,,,,
09.08.25,9.10AM,P-01,WFO,57.43,2.67,18583,2.22,1.021,56,1.145,0.2,94,344
09.08.25,12.50PM,C-03-T,NO,82.22,3.70,32380,2.53,,,,,,
09.08.25,12.50PM,C-02-T,LCO,9.75,,,,0.987,37,1.000,,,
09.08.25,03.30PM,C-03-T,NO,85.96,4.04,11137,3.37,,,,,,
09.08.25,03.30PM,C-02-T,LCO,15.24,,,,0.988,32,0.998,,,
09.08.25,03.30PM,C-03-B,WO-270OC,0.18,,,,,,,,,
09.08.25,03.30PM,C-01-B,ATO,0.02,,,,,,,,                                               ,
09.08.25,07.00PM,P-01,WFO,51.46,1.99,19929,1.56,,,,,,
09.08.25,09.30PM,C-03-T,NO,87.61,3.55,4523,3.33,,,,,,
